Demo_Task,Fiscal_Period,Employee_ID,Business_Unit,Department,Role,Entity,Cost_Center,Cost_Center_Name,Salary_AUD,Overtime_AUD,Benefits_AUD,Contractor_Cost_AUD,Total_Workforce_Cost_AUD,Hours_Worked,Utilisation_Percent,Output_Metric,Output_Volume,Revenue_or_Value_Supported_AUD,Labour_Cost_Per_Output,Performance_Rating,Risk_Flag,Recommended_Action,Linked_GL_Txn_ID,Source_File_Target
IBM BOB 2 - Workforce,2026-03,EMP8171,Sales,Sales,Inventory Coordinator,FJI01,CORP,Corporate Head Office,10947.84,1719.6,2376.45,0,15043.89,160.5,85.4,deals_supported,81,315352.04,185.73,Medium,Contractor dependency,Review allocation / approve exception,TXN005209,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8269,Procurement,Procurement,Inventory Coordinator,FJI01,SA,South Australia Operations,18554.47,0,2929.01,0,21483.48,162.0,70.9,pos_processed,269,508446.61,79.86,Medium,None,No action,TXN005210,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6825,Operations,Operations,Revenue Analyst,FJI01,FIN,Finance & Accounting,14674.79,343.49,1386.61,6746.75,23151.64,125.5,61.4,flights_supported,250,331215.52,92.61,Medium,None,No action,TXN005211,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4786,FP&A,FP&A,Controller,AUS01,IT,Information Technology,14295.02,1259.34,918.27,509.64,16982.27,143.8,73.9,forecast_models,119,633765.69,142.71,Low,Low utilisation high cost,Review allocation / approve exception,TXN005212,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5600,Finance,Finance,Procurement Specialist,PNG01,CORP,Corporate Head Office,5153.76,642.68,700.23,0,6496.67,147.2,95.7,close_tasks,60,308594.89,108.28,Medium,Contractor dependency,Review allocation / approve exception,TXN005213,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9016,Commercial,Commercial,Procurement Specialist,FJI01,R&D,Research & Development,16938.58,625.49,1452.93,0,19017.0,148.1,96.0,revenue_cases,170,277341.46,111.86,High,None,No action,TXN005214,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5871,Finance,Finance,Finance Analyst,AUS01,ACT,Australian Capital Territory,8861.93,301.92,758.7,0,9922.55,126.4,72.6,close_tasks,136,264385.12,72.96,Medium,Contractor dependency,Review allocation / approve exception,TXN005215,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4863,Sales,Sales,Inventory Coordinator,NZL01,MKT,Marketing & Sales,6820.33,0,630.18,0,7450.51,161.1,67.3,deals_supported,276,316409.37,26.99,Low,None,No action,TXN005216,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6781,Procurement,Procurement,Operations Planner,PNG01,MKT,Marketing & Sales,11507.24,1784.12,1699.38,0,14990.74,152.2,62.1,pos_processed,97,46790.16,154.54,High,None,No action,TXN005217,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3713,IT,IT,Procurement Specialist,NZL01,OPS,Operations & Logistics,8786.41,0,1219.24,0,10005.65,127.9,76.2,tickets_resolved,197,672938.69,50.79,Medium,Contractor dependency,Review allocation / approve exception,TXN005218,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
